Idioma,Hablantes
Mandarin Chinese,941
Spanish,486
English,380
Hindi,345
Bengali,237
Portuguese,236
Russian,148
Japanese,123
Yue Chinese,86
Vietnamese,85
Turkish,84
Wu Chinese,83
Marathi,83
Telugu,83
Western Punjabi,82
Korean,81
Tamil,79
Egyptian Arabic,78
Standard German,76
French,74
Urdu,70
Javanese,68
Italian,64
Iranian Persian,62
Gujarati,58
Hausa,54
Bhojpuri,53
Levantine Arabic,51
Southern Min,51
